,code,date,pchange_whole,pchange,change_std,amount_median,amount_std,length,sumsell,sumbuy,sell_vol_0,buy_vol_0,sell_vol_1,buy_vol_1,sell_vol_2,buy_vol_2,sell_vol_3,buy_vol_3,sell_vol_4,buy_vol_4,sell_vol_5,buy_vol_5,sell_vol_6,buy_vol_6,sell_vol_7,buy_vol_7
0,000001,2017-10-16,0.020246478873239493,0.01672535211267623,0.19667071154028362,68400.0,723796.7573456719,3341,410526491,449943909,1003101,796886,13403137,11422605,21517859,19803113,42072487,34537136,21306201,23079001,22049599,22072041,20432965,16580150,268741142,321652977
1,000002,2017-10-16,-0.024109792284866538,-0.02596439169139464,0.4649531734670282,66612.5,685832.9356554436,3364,390809684,290464195,888973,754422,13383756,12736779,21341461,24153601,39761718,36874315,29755862,26685535,27627106,20047665,17015667,16873984,241035141,152337894
2,000004,2017-10-16,0.017453391511304872,-0.008726695755652658,1.1102721822940151,12420.0,64252.57871899514,516,6887855,9949153,583944,519501,2520876,1616012,1980882,1406916,1327913,2551750,0,2624974,0,375000,474240,0,0,855000
3,000005,2017-10-16,-0.021359223300970953,-0.021359223300970953,0.13586913680445714,10140.0,115111.47942710319,1439,33737127,19851920,1246809,1332448,6327334,4728671,4561823,3765252,6238063,3221040,2924022,1113510,1799606,617517,966448,494832,9673022,4578650
4,000008,2017-10-16,0.023359288097886344,0.012235817575083408,0.22541832189403962,14576.0,151553.4574324888,1591,49612500,46627151,1704228,1243173,7513458,6018334,5625343,6039726,9019673,7492546,4307681,4968643,2058693,2370500,5456236,3610973,13927188,14883256
5,000009,2017-10-16,-0.02346368715083791,-0.02681564245810042,0.18212504142752625,18312.0,225485.58604768844,2418,123203807,61263102,1370784,2284261,10201470,11403319,11467505,10262057,14654925,10079350,6910533,5548801,8421683,3728168,6854564,3595354,63322343,14361792
6,000010,2017-10-16,-0.03130434782608693,-0.04347826086956519,0.12693632799527177,14559.0,125707.23494566452,2057,57483370,29939247,1991875,1414297,11658694,7985217,8839387,5362995,9846945,7569082,3978132,1845053,5504345,1335273,1795702,401921,13868290,4025409
7,000011,2017-10-16,-0.027707808564231717,-0.02267002518891703,0.48026525208536885,19710.0,97358.10089141903,1708,53234926,30135376,1632836,1258952,9804798,8543626,9314106,6917067,11477731,6824055,5820989,2535576,3543367,1318578,2785452,1284720,8855647,1452802
8,000012,2017-10-16,-0.013064133016627011,-0.01187648456057,0.2294932264507543,13399.5,110176.9293217117,1346,43156471,17976162,1541038,1152615,7560631,4507598,6452362,3619254,6574126,3482251,5243500,1457339,3457692,356584,3460552,923016,8866570,2477505
9,000014,2017-10-16,-0.016587677725118377,-0.013033175355450122,0.7102170781696514,8345.0,45362.200278408964,564,7911345,4442640,1021258,430201,2510941,1645623,2209175,783508,1561258,413424,223174,468920,385539,0,0,0,0,700964
10,000016,2017-10-16,-0.03350083752093802,-0.031825795644891075,0.17384945790333245,9911.0,114334.47835261215,1181,33809678,21485916,693490,1239737,3724196,3837534,2911840,4881701,5371266,4167049,6401936,2476297,3495147,1750506,1360985,1338544,9850818,1794548
11,000017,2017-10-16,-0.014371257485029876,-0.014371257485029876,0.18233361134926385,16480.0,225025.38583088125,2100,53598975,72652985,1138971,2544703,7299594,10622095,7388365,10013193,7779857,10651813,7217115,8479402,4511159,4388775,4299880,3170058,13964034,22782946
12,000018,2017-10-16,0.010037641154328814,0.012547051442910906,0.17400367831752067,23475.5,169572.69287866587,2100,52726736,86300130,1632710,1693164,10347455,10819239,7948592,11679532,12412863,11666908,5993680,10169974,3355670,8896717,4767896,3439999,6267870,27934597
13,000020,2017-10-16,-0.011029411764705954,-0.011029411764705954,0.7629335555525572,13229.0,90601.73114234545,622,19128135,8889961,797784,541339,3144488,1864119,2096681,1878278,2670360,1776870,3044795,1249757,2400744,1059392,4033783,0,939500,520206
14,000021,2017-10-16,-0.028183716075156573,-0.02087682672233815,0.219549092186563,14952.0,130209.4138782445,1906,54170095,38118738,1408453,1961364,8147285,8682591,8179024,7235100,8498936,7957073,5543170,4113020,3369122,2448777,2396535,1355382,16627570,4365431
15,000022,2017-10-16,-0.022869789745481373,-0.01143489487274063,0.7814886359826276,26700.0,105282.1481249106,1203,38575525,30726692,771218,677284,6331555,6336226,6547237,4663536,8788227,7039952,5480096,4840951,3130705,1083579,408450,2240822,7118037,3844342
16,000023,2017-10-16,-0.013843648208469062,-0.010586319218240936,1.1227943187240153,12395.0,65764.30148045623,478,9044060,5418048,366974,574808,2081391,2453179,1535611,793970,1760871,732876,1191693,0,361032,372215,419050,491000,1327438,0
17,000025,2017-10-16,-0.031441048034934416,-0.02358078602620084,0.8736800686523244,31976.0,128510.09568149257,2750,115226095,78004434,1568427,1819672,14379575,14548235,17758460,14529010,28695789,19086868,16728428,10668999,10510356,4959538,4948997,4911548,20636063,7480564
